word, english, example, response 
wie ben jij?, who are you?, ik ben Asif Anwawr
Hoe laat stopt de les?, what time does the lesson end?, de les stopt om 12 uur
Hoe laat hebben we pauze?, what time do we have a break?, we hebben pauze om 11 uur
hoe laat ga je naar de cursus?, what time do you go to the course?, ik ga om 10 uur naar de cursus
welke dag is het vandaag?, what day is it today?, het is maandag
welke dag is het morgen?, what day is it tomorrow?, het is dinsdag
en overmorgen?, and the day after tomorrow?, het is woensdag
welke dag was het gisteren?, what day was it yesterday?, het was zondag
walke dag was het eergiseren?, what day was it the day before yesterday?, het was zaterdag
kun je een persoon beschrijven?, can you describe a person?, ja dat klopt
kun je over jouw familie vertellen?, can you tell about your family?, ja dat klopt
kun je vragen en zeggen hoe laat het is?, can you ask and say what time it is?, ja dat klopt
kun je de dagen van de week noemen?, can you name the days of the week?, ja dat klopt
kun je de maanden van het jaar noemen?, can you name the months of the year?, ja dat klopt
Mag ik de rekening alsjeblieft?, can I have the bill please?, ja natuurlijk
Mag ik de menukaart alsjeblieft?, can I have the menu please?, ja natuurlijk
Mag ik de wijnkaart alsjeblieft?, can I have the wine list please?, ja natuurlijk
Mag ik de dessertkaart alsjeblieft?, can I have the dessert menu please?, ja natuurlijk
Mag ik de kaart alsjeblieft?, can I have the menu please?, ja natuurlijk
wat willen jullie drinken?, what do you want to drink?, ik wil een glas water
wat wil je drinken?, what do you want to drink?, ik wil een glas water
wat wil je eten?, what do you want to eat?, ik wil een broodje kaas
kunnen wij bestellen?, can we order?, ja natuurlijk
voor mij een broodje kaas, please give me a cheese sandwich, ja natuurlijk
zulleen we een tafel reserveren?, shall we reserve a table?, ja natuurlijk
 een tafel voor vier personen reserveren?, shall we reserve a table for four people?, ja natuurlijk
kunnen we een tafel reserveren?, can we reserve a table?, ja natuurlijk
kunnen we een tafel voor vier personen reserveren?, can we reserve a table for four people?, ja natuurlijk
voor hoeveel personen?, for how many people?, voor vier personen
welke dag van de week is maandag?, what day of the week is monday?, maandag is de eerste dag van de week
welke maand van get jaar is juli?, what month of the year is july?, juli is de zevende maand van het jaar   
welke letter van het alfabet is de letter d?, what letter of the alphabet is the letter d?, d is de vierde letter van het alfabet
op welke dag ben jij jarig?, what day is your birthday?, ik ben jarig op 1 januari
op welke dag is jouw verjaardag?, what day is your birthday?, mijn verjaardag is op 1 januari
welke dag is het nu?, what day is it now?, het is maandag
hoeveel kindere heeft jullie gezin?, how many children does your family have?, wij hebben twee kinderen
hoeveel kinderen heeft jouw gezin?, how many children does your family have?, mijn gezin heeft twee kinderen
de hoeveelste les is dis?, what lesson is this?, dit is de eerste les
hoe vier jij je verjaardag?, how do you celebrate your birthday?, ik vier mijn verjaardag met mijn familie
kun je iemand feliciteren?, can you congratulate someone?, ja dat klopt
kun je iets bestellen in een café?, can you order something in a café?, ja dat klopt
kun je afrekenen in een café?, can you pay in a café?, ja dat klopt
kun je een tafel reserveren?, can you reserve a table?, ja dat klopt
kun je iemand bedanken?, can you thank someone?, ja dat klopt
kun je reageren op een uitnodiging?, can you respond to an invitation?, ja dat klopt
alles goed?, everything good?, ja alles goed
hoe gaat het met jou?, how are you?, het gaat goed met mij
hoe is het met jij?, how are you?, het gaat goed met mij
